Date,Close,High,Low,Open,Volume,returns,vol_20d,vol_60d,vol_ratio,ma_50,ma_200,trend_strength,ma_slope,mom_1m,mom_3m,mom_6m,mom_12m,mom_quality,price_vs_ma50,price_vs_ma200,vol_scale,month,seasonal_score,VIX,vix_ma20,vix_regime,regime_score,base_position,adjusted_position,final_position,signal
2006-01-03,87.22503662109375,87.43156998973073,85.63474754061897,86.18549968874308,73256700,0.017588550219623134,0.0931800319150046,0.10834848879844801,0.8600030600181229,85.28074905395508,82.72357517242432,0.054415702407528216,0.01312933485865675,0.005380167521150669,0.038920394290970384,0.06161330724419356,0.07177459431219124,0.021143699048975572,0.022798668969342295,0.054415702407528216,1.274155439958837,1,1.0,11.140000343322754,11.267500019073486,1,90,0.9,1.1467398959629533,1.1467398959629533,1.0552628281110341
2006-01-04,87.63811492919922,87.76891451106776,87.22504813738819,87.33520068250111,51899600,0.004735776837788919,0.09406540222871548,0.10849901710501171,0.8669700863527038,85.41558517456055,82.76071949005127,0.05893370030131579,0.013615243354965001,0.008867162681840401,0.055723693812361086,0.07565715884585433,0.09017194150661378,0.028567442591140108,0.02602018999339023,0.05893370030131579,1.2622888788846123,1,1.0,11.369999885559082,11.255999994277953,0,75,0.75,0.9467166591634593,0.9467166591634593,1.1467398959629533
2006-01-05,87.69319152832031,87.83776281370663,87.34897268148733,87.5348538001003,47307500,0.0006284548585462346,0.09393503557168256,0.1066497306972574,0.8807808042041141,85.5264582824707,82.8022142791748,0.05906819390910436,0.01362996048561449,0.011654676828873889,0.07042739624326244,0.07211626265767479,0.09843682268241283,0.032337328509331666,0.025334069589243145,0.05906819390910436,1.264022278786546,1,1.0,11.3100004196167,11.245499992370606,0,85,0.85,1.0744189369685642,1.0744189369685642,0.9467166591634593
2006-01-06,88.4229507446289,88.51933161429457,87.67943667661086,88.13380813563194,62885900,0.008321731751237627,0.09470806029296,0.10745211565540577,0.8813978181377518,85.65521408081055,82.8470182800293,0.06730396072617269,0.013795325955571647,0.018143246336457253,0.08322894160290928,0.06883052986536065,0.10197520801972226,0.03693959013039136,0.03231252987362988,0.06730396072617269,1.25381289342489,1,1.0,11.0,11.186499977111817,1,100,1.0,1.25381289342489,1.25381289342489,1.0744189369685642
2006-01-09,88.65013885498047,88.84978119581857,88.3816485319349,88.40918142198156,43527400,0.002569334187994876,0.09456346086380008,0.10570095322359681,0.8946320537314664,85.7933073425293,82.89248271942138,0.06945932787473492,0.013809087058740843,0.02674981010579991,0.08228929984353694,0.06612838865533166,0.10639198392794036,0.03913883810798053,0.03329900199610305,0.06945932787473492,1.2557100686320644,1,1.0,11.130000114440918,11.132499980926514,1,100,1.0,1.2557100686320644,1.2557100686320644,1.25381289342489
2006-01-10,88.73963165283203,88.79470793953105,88.29903186396743,88.38853214294429,44960800,0.0010095054447456508,0.09445381905880502,0.10560725329920714,0.8943876117220648,85.9505844116211,82.93781742095948,0.06995378480271366,0.014026141920431723,0.028439179871621034,0.09260811307915473,0.06441129667165146,0.10229727379688214,0.04182350245428503,0.03244942731109388,0.06995378480271366,1.257152423896975,1,1.0,10.859999656677246,11.090999984741211,1,100,1.0,1.257152423896975,1.257152423896975,1.2557100686320644
2006-01-11,89.02186584472656,89.11136609571567,88.62257076956851,88.82222355950968,49598900,0.0031804751342521254,0.09467922936071525,0.10402347349000725,0.9101717735834919,86.0902230834961,82.98721206665039,0.07271787577620395,0.014449897300864212,0.029014747689180664,0.0976562841745443,0.06631378370111674,0.11347587169333684,0.043510346153973346,0.03405314397184404,0.07271787577620395,1.254190703685481,1,1.0,10.9399995803833,11.064499950408935,1,100,1.0,1.254190703685481,1.254190703685481,1.257152423896975
2006-01-12,88.6707763671875,89.00122351629757,88.42293837917359,88.86353807956216,40509200,-0.0039438566492353555,0.09423143123094213,0.10452366120488217,0.9015320564234187,86.21832046508788,83.02924800872803,0.0679462778931399,0.014762713137738581,0.02398388445924149,0.10198096199624263,0.05796061873402891,0.10543635002126273,0.04145028907454192,0.028444719044285725,0.0679462778931399,1.2600881709841423,1,1.0,11.199999809265137,11.06899995803833,0,85,0.85,1.071074945336521,1.071074945336521,1.254190703685481
2006-01-13,88.58817291259766,88.73963007214022,88.25772570301724,88.51245483755376,44856700,-0.0009315747304138311,0.09371279461189178,0.10149574481850544,0.9233174728602551,86.33983489990234,83.0716181564331,0.06640721438429507,0.014878614373500243,0.016119304503366072,0.1016104397427311,0.05757770007982321,0.11332684787594549,0.03867848745439648,0.02604056418803572,0.06640721438429507,1.2669882721941483,1,1.0,11.229999542236328,11.10649995803833,0,85,0.85,1.0769400313650261,1.0769400313650261,1.071074945336521
2006-01-17,88.34720611572266,88.40916298395173,87.98921559141297,88.25770585846398,52066600,-0.00272007863976087,0.09362769066551682,0.09687801935470744,0.9664492656761496,86.43927261352539,83.11458312988282,0.06295673741950725,0.01516654162868436,0.009391036173816314,0.08713432531756626,0.05892493173363422,0.10447616416970318,0.0332825099209766,0.02207253074337795,0.06295673741950725,1.2681277452301716,1,1.0,11.90999984741211,11.16549997329712,0,85,0.85,1.0779085834456459,1.0779085834456459,1.0769400313650261
2006-01-18,87.9961166381836,88.73962544717084,87.54175043560046,87.83089304200459,75067600,-0.003973973744899051,0.09407682239090341,0.08926203883855369,1.0539398787547092,86.5245669555664,83.15511375427246,0.05821653853082971,0.014584978619551991,0.008298965214824872,0.07881470401413204,0.04897220282009873,0.08876164767771422,0.02931845314492222,0.017007304796716177,0.05821653853082971,1.2621372589275883,1,1.0,12.25,11.24399995803833,0,65,0.65,0.8203892183029324,0.8203892183029324,1.0779085834456459
2006-01-19,88.33341979980469,88.65010569287551,87.98920102698668,88.20950608385738,81530400,0.003833159626895677,0.09219603320083566,0.08925331359874175,1.0329704241046285,86.61879821777343,83.19542915344238,0.06175808813830389,0.014086574958819487,0.015432007543184412,0.09480696502217634,0.04941012341178452,0.1044906967617294,0.0355006482548667,0.01979502853087877,0.06175808813830389,1.2876084515464548,1,1.0,11.979999542236328,11.2739999294281,0,75,0.75,0.965706338659841,0.965706338659841,0.8203892183029324
2006-01-20,86.72249603271484,88.33343769472013,86.72249603271484,88.3127854045451,114957800,-0.018236854983547324,0.11482309057113527,0.09331529690785614,1.2304851870590618,86.67916702270507,83.22629753112793,0.04200833877392281,0.013477802815443196,0.002068599028194784,0.057253028086535096,0.03631712319181801,0.0909926544690336,0.02010142676155945,0.0004998780156530689,0.04200833877392281,1.0360628386642765,1,1.0,14.5600004196167,11.44249997138977,0,40,0.4,0.41442513546571064,0.41442513546571064,0.965706338659841
2006-01-23,87.0322494506836,87.30762544408002,86.8326019867802,86.88767823593152,67017400,0.0035717770144887417,0.11538283889981402,0.09326904756426438,1.2370967851935313,86.74573089599609,83.2565414428711,0.04535028650455423,0.012731470312556725,0.004688461781338971,0.08005548975856636,0.03311541667527029,0.10164010512016075,0.02576167098332352,0.0033029700911855336,0.04535028650455423,1.0310798493521862,1,1.0,13.930000305175781,11.598499965667724,0,40,0.4,0.4124319397408745,0.4124319397408745,0.41442513546571064
2006-01-24,87.12179565429688,87.53485723623844,87.03229538909484,87.17686668015624,53008800,0.00102888531755152,0.11389389850809883,0.09290754856156687,1.2258842286924079,86.81189514160157,83.29144390106201,0.04598733764040349,0.011872578766611186,0.0041260764638302305,0.07695637588544857,0.03711666434919292,0.1049498520118608,0.025517957252746897,0.0035697931970016215,0.04598733764040349,1.0444418855849098,1,1.0,13.3100004196167,11.749499988555907,0,40,0.4,0.41777675423396393,0.41777675423396393,0.4124319397408745
